email_id,email_type,sender_familiarity,urgency_level,framing_type,content_domain,subject_line,phishing_quality,has_aggressive_content,has_spelling_errors,has_suspicious_url,requests_sensitive_info,ground_truth
E01,phishing,familiar,high,threat,it_security,URGENT: Unauthorized Access Detected - Immediate Action Required,high,True,False,True,True,1
E02,legitimate,familiar,high,threat,it_security,URGENT: Security Audit Findings - Response Required by EOD,,True,False,False,False,0
E03,phishing,familiar,high,reward,finance,ACTION REQUIRED: Tax Refund for LuxConsultancy Employees,high,True,False,True,True,1
E04,legitimate,familiar,high,reward,marketing,Last Chance: Exclusive 60% Discount Expires Tonight!,,False,False,False,False,0
E05,phishing,unfamiliar,high,threat,finance,ALERT: Suspicious Transaction on LuxConsultancy Corporate Account,high,True,False,True,True,1
E06,legitimate,unfamiliar,high,threat,compliance,Regulatory Notice: Outstanding AML Documentation - Response Required,,False,False,False,True,0
E07,phishing,unfamiliar,high,reward,general,Congratulations! LuxConsultancy Nominated for Excellence Award,high,True,False,True,True,1
E08,legitimate,unfamiliar,high,reward,general,Final Reminder: Complimentary Registration - FinTech Innovation Summit,,False,False,False,False,0
E09,phishing,familiar,low,threat,it_security,Service Notice: Scheduled Security Update,medium,False,False,True,True,1
E10,legitimate,familiar,low,threat,compliance,FYI: Updated Environmental Compliance Guidelines,,False,False,False,False,0
E11,phishing,familiar,low,reward,finance,New Referral Bonus Program for Consulting Partners,medium,False,False,True,True,1
E12,legitimate,familiar,low,reward,it_security,Your Monthly Cloud Usage Report + Free Training Credits,,False,False,False,False,0
E13,phishing,unfamiliar,low,threat,compliance,Notice: Upcoming GDPR Compliance Audit Scheduled,medium,False,False,True,True,1
E14,legitimate,unfamiliar,low,threat,compliance,Newsletter: Updated Data Protection Guidelines for 2025,,False,False,False,False,0
E15,phishing,unfamiliar,low,reward,general,Invitation: Share Your Expertise & Earn $75 Amazon Gift Card,low,False,False,True,False,1
E16,legitimate,unfamiliar,low,reward,general,Exclusive Invite: CEO Networking Breakfast - Free for Members,,False,False,False,False,0
